command	option	evidence	notes
shortlog	--numbered	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-oracle-smoke.sh	Reviewed complete doc-option pair: --numbered is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local summary, numbering, email, range, and non-merge lanes.
shortlog	--summary	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-oracle-smoke.sh	Reviewed complete doc-option pair: --summary is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local summary, numbering, email, range, and non-merge lanes.
shortlog	--tags	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --tags now has durable stock-Git shortlog evidence for helper-free local tag-ref selection on the modeled tagged lane.
shortlog	-c	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-gap-probe.sh	Reviewed complete doc-option pair: -c is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local author-summary, committer-grouping, range, and non-merge lanes.
shortlog	--date	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --date is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local format-grouping lane, repeated last-one-wins ordering, and invalid value rejection.
shortlog	-e	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-oracle-smoke.sh	Reviewed complete doc-option pair: -e is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local summary, numbering, email, range, and non-merge lanes.
shortlog	--extended-regexp	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --extended-regexp is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including regex matching, case-insensitive composition, and repeated long plus short pattern-mode last-one-wins ordering against fixed-strings.
shortlog	--format	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --format is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local custom-subject lane and repeated last-one-wins ordering.
shortlog	--fixed-strings	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --fixed-strings is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including literal matching and repeated long plus short pattern-mode last-one-wins ordering against extended-regexp and perl-regexp.
shortlog	--grep	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --grep is covered by the existing exact stock-Git shortlog grep evidence on the currently modeled helper-free local lane, including default matching, repeated grep composition, and pattern-mode combinations where modeled.
shortlog	--grep-reflog	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --grep-reflog is covered by the existing exact stock-Git shortlog reflog evidence on the currently modeled local lane, including walk-reflogs composition, repeated grep-reflog values, and the stock fatal guard when walk-reflogs is absent.
shortlog	--group	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --group is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local lane, including committer, trailer, and format grouping, repeated and duplicate group keys, composed multi-group summaries, and invalid group rejection.
shortlog	--invert-grep	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --invert-grep is covered by the existing exact stock-Git shortlog grep evidence on the currently modeled helper-free local lane, including inverted filtering over repeated grep patterns.
shortlog	--max-count	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --max-count now has durable stock-Git shortlog evidence for helper-free local traversal limiting on the modeled three-commit lane.
shortlog	-n	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-oracle-smoke.sh	Reviewed complete doc-option pair: -n is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local summary, numbering, email, range, and non-merge lanes.
shortlog	--perl-regexp	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --perl-regexp is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including perl-style matching and repeated long plus short pattern-mode last-one-wins ordering against fixed-strings.
shortlog	--reflog	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --reflog is covered by the existing exact stock-Git shortlog reflog evidence on the modeled local lane, including explicit HEAD traversal and composition with the short walk-reflogs alias in reversed order.
shortlog	--regexp-ignore-case	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --regexp-ignore-case is covered by the existing exact stock-Git shortlog grep evidence on the currently modeled helper-free local lane, including case-insensitive matching over the grep family.
shortlog	-s	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs; tools/git-shortlog-schema-oracle-smoke.sh	Reviewed complete doc-option pair: -s is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free local summary, numbering, email, range, and non-merge lanes.
shortlog	-w	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -w is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free long-subject wrap lane, repeated last-one-wins ordering, and invalid wrap rejection.
shortlog	--walk-reflogs	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --walk-reflogs is covered by the existing exact stock-Git shortlog reflog evidence on the modeled local lane, including the current empty-output behavior and composition with repeated grep-reflog values.
shortlog	-E	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -E is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including regex matching, case-insensitive composition, and repeated short pattern-mode last-one-wins ordering against -F.
shortlog	-F	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -F is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including literal matching and repeated short pattern-mode last-one-wins ordering against -E and -P.
shortlog	-g	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -g is covered by the existing exact stock-Git shortlog reflog evidence on the modeled local lane, including the current empty-output walk-reflogs alias behavior and composition with --reflog in stock order.
shortlog	-i	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -i is covered by the existing exact stock-Git shortlog grep evidence on the currently modeled helper-free local lane, including case-insensitive matching over grep patterns.
shortlog	-P	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: -P is covered by the existing exact stock-Git shortlog evidence on the currently modeled helper-free grep lane, including perl-style matching and repeated short pattern-mode last-one-wins ordering against -F.
shortlog	--stdin	docs/cli/matrices/shortlog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-shortlog.txt; crates/zmin-cli/tests/git_history_query_compat.rs	Reviewed complete doc-option pair: --stdin is covered on the currently modeled helper-free local surface by the existing exact stock-Git invalid-input row where shortlog rejects the documented rev-list --stdin spelling with the stock unknown-option usage diagnostic on this machine.
count-objects	--human-readable	docs/cli/matrices/count_objects_v2_47.tsv; target/git-doc-cache/v2.47.1/git-count-objects.txt; tools/git-count-objects-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long human-readable mode covers default use, repeats, mixed verbose combinations, and exact invalid value rejection with stock-Git evidence.
count-objects	--verbose	docs/cli/matrices/count_objects_v2_47.tsv; target/git-doc-cache/v2.47.1/git-count-objects.txt; tools/git-count-objects-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long verbose mode covers default use, repeats, mixed human-readable combinations, and exact stock-Git output parity.
count-objects	-H	docs/cli/matrices/count_objects_v2_47.tsv; target/git-doc-cache/v2.47.1/git-count-objects.txt; tools/git-count-objects-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short human-readable mode covers default use, repeats, mixed verbose combinations, and exact stock-Git output parity.
count-objects	-v	docs/cli/matrices/count_objects_v2_47.tsv; target/git-doc-cache/v2.47.1/git-count-objects.txt; tools/git-count-objects-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short verbose mode covers default use, repeats, mixed human-readable combinations, and exact stock-Git output parity.
credential-cache	--socket	docs/cli/matrices/credential_cache_v2_47.tsv; target/git-doc-cache/v2.47.1/git-credential-cache.txt; tools/git-credential-cache-schema-oracle-smoke.sh	Reviewed complete doc-option pair: socket path handling covers store/get/erase flows and exact Unix socket side effects with stock-Git evidence.
credential-cache	--timeout	docs/cli/matrices/credential_cache_v2_47.tsv; target/git-doc-cache/v2.47.1/git-credential-cache.txt; tools/git-credential-cache-schema-oracle-smoke.sh	Reviewed complete doc-option pair: timeout mode covers store/get/erase flows and post-erase lookup parity with stock-Git evidence.
merge-index	-a	docs/cli/matrices/merge_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-merge-index.txt; tools/git-merge-index-schema-oracle-smoke.sh	Reviewed complete doc-option pair: all-unmerged mode covers default and repeated selector handling with stock-Git index/worktree parity.
merge-index	-o	docs/cli/matrices/merge_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-merge-index.txt; tools/git-merge-index-schema-oracle-smoke.sh	Reviewed complete doc-option pair: one-shot mode covers explicit path handling and mixed quiet combinations with stock-Git side effects.
merge-index	-q	docs/cli/matrices/merge_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-merge-index.txt; tools/git-merge-index-schema-oracle-smoke.sh	Reviewed complete doc-option pair: quiet mode covers explicit path handling and mixed one-shot combinations with stock-Git side effects.
prune-packed	--dry-run	docs/cli/matrices/prune_packed_v2_47.tsv; target/git-doc-cache/v2.47.1/git-prune-packed.txt; tools/git-prune-packed-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long dry-run covers no-delete behavior, repeated flags, no-dry-run override, and exact invalid value rejection with stock-Git evidence.
prune-packed	--quiet	docs/cli/matrices/prune_packed_v2_47.tsv; target/git-doc-cache/v2.47.1/git-prune-packed.txt; tools/git-prune-packed-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long quiet mode covers silent prune behavior, repeated flags, no-quiet override, and loose-object parity with stock-Git evidence.
prune-packed	-n	docs/cli/matrices/prune_packed_v2_47.tsv; target/git-doc-cache/v2.47.1/git-prune-packed.txt; tools/git-prune-packed-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short dry-run covers no-delete behavior, repeats, and exact invalid value rejection with stock-Git evidence.
prune-packed	-q	docs/cli/matrices/prune_packed_v2_47.tsv; target/git-doc-cache/v2.47.1/git-prune-packed.txt; tools/git-prune-packed-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short quiet mode covers silent prune behavior, repeats, and loose-object parity with stock-Git evidence.
verify-pack	--stat-only	docs/cli/matrices/verify_pack_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-pack.txt; tools/git-verify-pack-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long stat-only mode covers default use, mixed verbose combinations, repeated short alias parity, and exact stock-Git output.
verify-pack	--verbose	docs/cli/matrices/verify_pack_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-pack.txt; tools/git-verify-pack-schema-oracle-smoke.sh	Reviewed complete doc-option pair: long verbose mode covers default use, mixed stat-only combinations, repeated short alias parity, and exact stock-Git output.
verify-pack	-s	docs/cli/matrices/verify_pack_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-pack.txt; tools/git-verify-pack-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short stat-only mode covers statistics output and mixed verbose combinations with exact stock-Git parity.
verify-pack	-v	docs/cli/matrices/verify_pack_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-pack.txt; tools/git-verify-pack-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short verbose mode covers object listing and mixed stat-only combinations with exact stock-Git parity.
version	--build-options	docs/cli/matrices/version_v2_47.tsv; target/git-doc-cache/v2.47.1/git-version.txt; git_version_compat::version_command_options_match_stock_git_shape	Reviewed complete doc-option pair: build-options output shape is covered directly by stock-Git evidence.
version	--version	docs/cli/matrices/version_v2_47.tsv; target/git-doc-cache/v2.47.1/git-version.txt; tools/git-replacement-dogfood-smoke.sh	Reviewed complete doc-option pair: the version subcommand rejection shape is covered both directly and through the replacement shim.
write-tree	--missing-ok	docs/cli/matrices/write_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-write-tree.txt; tools/git-write-tree-schema-oracle-smoke.sh	Reviewed complete doc-option pair: missing-ok covers default use, no-missing-ok toggle, mixed prefix ordering, and exact stock-Git tree-writing behavior.
write-tree	--prefix	docs/cli/matrices/write_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-write-tree.txt; tools/git-write-tree-schema-oracle-smoke.sh	Reviewed complete doc-option pair: prefix mode covers attached and space-separated values, empty values, repeated slash normalization, and mixed missing-ok ordering with stock-Git parity.
credential-store	--file	docs/cli/matrices/credential_store_v2_47.tsv; target/git-doc-cache/v2.47.1/git-credential-store.txt; tools/git-credential-store-schema-oracle-smoke.sh	Reviewed complete doc-option pair: explicit credential file handling covers separate and equals forms, repeated selection, missing-action rejection, missing-value rejection, and stock-compatible credential file side effects.
mktree	--batch	docs/cli/matrices/mktree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-mktree.txt; tools/git-mktree-schema-oracle-smoke.sh	Reviewed complete doc-option pair: batch mode covers repeated flags, mixed z and missing combinations, no-batch overrides, empty input, and exact stock-Git tree output.
mktree	--missing	docs/cli/matrices/mktree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-mktree.txt; tools/git-mktree-schema-oracle-smoke.sh	Reviewed complete doc-option pair: missing mode covers repeated flags, mixed batch and z combinations, no-missing ordering, invalid values, and exact stock-Git missing-object behavior.
mktree	-z	docs/cli/matrices/mktree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-mktree.txt; tools/git-mktree-schema-oracle-smoke.sh	Reviewed complete doc-option pair: z mode covers repeated flags, batch and missing combinations, invalid value rejection, and exact stock-Git NUL-delimited parsing.
patch-id	--stable	docs/cli/matrices/patch_id_v2_47.tsv; target/git-doc-cache/v2.47.1/git-patch-id.txt; tools/git-patch-id-schema-oracle-smoke.sh	Reviewed complete doc-option pair: stable mode covers diff and log patch streams, repeated flags, invalid negation, invalid value rejection, and exact stock-Git output.
patch-id	--unstable	docs/cli/matrices/patch_id_v2_47.tsv; target/git-doc-cache/v2.47.1/git-patch-id.txt; tools/git-patch-id-schema-oracle-smoke.sh	Reviewed complete doc-option pair: unstable mode covers diff and log patch streams, repeated flags, invalid negation, invalid value rejection, and exact stock-Git output.
patch-id	--verbatim	docs/cli/matrices/patch_id_v2_47.tsv; target/git-doc-cache/v2.47.1/git-patch-id.txt; tools/git-patch-id-schema-oracle-smoke.sh	Reviewed complete doc-option pair: verbatim mode covers whitespace-sensitive input, repeated flags, invalid negation, invalid value rejection, and exact stock-Git output.
patch-id	-O	docs/cli/matrices/patch_id_v2_47.tsv; target/git-doc-cache/v2.47.1/git-patch-id.txt; tools/git-patch-id-schema-oracle-smoke.sh	Reviewed complete doc-option pair: compact and separate -O forms are documented only by cross-reference and are both rejected with exact stock-Git usage parity.
verify-commit	--raw	docs/cli/matrices/verify_commit_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-commit.txt; tools/git-verify-signature-schema-oracle-smoke.sh	Reviewed complete doc-option pair: raw mode covers signed and unsigned commits, mixed verbose combinations, and exact stock-Git stderr parity.
verify-commit	--verbose	docs/cli/matrices/verify_commit_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-commit.txt; tools/git-verify-signature-schema-oracle-smoke.sh	Reviewed complete doc-option pair: verbose mode covers unsigned commit object output, mixed raw combinations, and exact stock-Git stdout/stderr parity.
verify-commit	-S	docs/cli/matrices/verify_commit_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-commit.txt; tools/git-verify-signature-schema-oracle-smoke.sh	Reviewed complete doc-option pair: the documented signing option surface is covered as stock-Git-invalid for separate and compact short forms with exact usage parity.
verify-commit	-v	docs/cli/matrices/verify_commit_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-commit.txt; tools/git-verify-signature-schema-oracle-smoke.sh	Reviewed complete doc-option pair: short verbose mode covers unsigned commit object output, mixed raw combinations, and exact stock-Git parity.
verify-tag	--format	docs/cli/matrices/verify_tag_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-tag.txt; git-verify-signature-schema-gap-probe.sh	Reviewed complete doc-option pair: format mode covers standalone and mixed verbose combinations for unsigned annotated tags with exact stock-Git stdout/stderr parity.
verify-tag	--raw	docs/cli/matrices/verify_tag_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-tag.txt; git-verify-signature-schema-gap-probe.sh; git_pack_integrity_compat::verify_commit_and_tag_match_stock_git_for_unsigned_and_signed_fixtures	Reviewed complete doc-option pair: raw mode covers signed and unsigned tags, mixed verbose combinations, and exact stock-Git stderr parity.
verify-tag	--verbose	docs/cli/matrices/verify_tag_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-tag.txt; git-verify-signature-schema-gap-probe.sh	Reviewed complete doc-option pair: verbose mode covers annotated unsigned tag payload output and exact stock-Git diagnostic ordering.
verify-tag	-v	docs/cli/matrices/verify_tag_v2_47.tsv; target/git-doc-cache/v2.47.1/git-verify-tag.txt; git-verify-signature-schema-gap-probe.sh	Reviewed complete doc-option pair: short verbose mode covers annotated unsigned tag payload output and exact stock-Git diagnostic ordering.
var	-l	docs/cli/matrices/var_v2_47.tsv; target/git-doc-cache/v2.47.1/git-var.txt; tools/git-var-schema-oracle-smoke.sh; git_admin_tools_compat::var_list_and_failures_match_stock_git	Reviewed complete doc-option pair: list mode covers successful listing, repeated and compact repeats, value rejection, empty-value rejection, negated long rejection, extra-argument rejection, and exact stock-Git usage parity.
cherry	-v	docs/cli/matrices/cherry_v2_47.tsv; target/git-doc-cache/v2.47.1/git-cherry.txt; tools/git-cherry-schema-oracle-smoke.sh; git_history_query_compat::cherry_matches_stock_git_for_patch_equivalence_and_upstream_default	Reviewed complete doc-option pair: verbose mode covers short and long spellings, repeated forms, no-verbose override, and exact invalid value rejection with stock-Git output parity.
mktag	--strict	docs/cli/matrices/mktag_v2_47.tsv; target/git-doc-cache/v2.47.1/git-mktag.txt; tools/git-mktag-schema-oracle-smoke.sh; git_object_plumbing_compat::mktag_matches_stock_git_for_valid_tag_object	Reviewed complete doc-option pair: strict mode is covered by default strict behavior plus explicit strict and no-strict forms, all with exact stock-Git tag object-id parity.
hook	--ignore-missing	docs/cli/matrices/hook_v2_47.tsv; target/git-doc-cache/v2.47.1/git-hook.txt; git_admin_tools_compat::hook_run_matches_stock_git_for_missing_and_executable_hooks	Reviewed complete doc-option pair: ignore-missing is covered by absent-hook success behavior with exact stock-Git stdout/stderr/exit parity.
hook	--to-stdin	docs/cli/matrices/hook_v2_47.tsv; target/git-doc-cache/v2.47.1/git-hook.txt; git_admin_tools_compat::hook_run_matches_stock_git_for_missing_and_executable_hooks	Reviewed complete doc-option pair: to-stdin is covered by executable hook stdin streaming, argv forwarding, and exact stock-Git stdout/stderr/exit parity.
for-each-ref	--format	docs/cli/matrices/for_each_ref_v2_47.tsv; target/git-doc-cache/v2.47.1/git-for-each-ref.txt; crates/zmin-cli/tests/git_for_each_ref_compat.rs; crates/zmin-cli/tests/git_refs_compat.rs; crates/zmin-cli/tests/git_transport_local_compat.rs; crates/zmin-cli/tests/git_cli_failure_compat.rs	Reviewed complete doc-option pair: format is covered by the existing exact stock-Git for-each-ref evidence across mixed-ref listing, objectname short lengths, refname strip atoms, author/committer/tagger/creator identity and date atoms, upstream tracking atoms, bare-repository listing, and invalid atom/value diagnostics on the currently modeled helper-free local lanes.
for-each-ref	--sort	docs/cli/matrices/for_each_ref_v2_47.tsv; target/git-doc-cache/v2.47.1/git-for-each-ref.txt; crates/zmin-cli/tests/git_for_each_ref_compat.rs	Reviewed complete doc-option pair: sort is covered by the existing exact stock-Git for-each-ref evidence across objectsize, refname, descending refname, lstrip/rstrip, repeated sort-key ordering, and invalid strip-value diagnostics on the currently modeled helper-free local lanes.
replay	--advance	docs/cli/matrices/replay_v2_47.tsv; target/git-doc-cache/v2.47.1/git-replay.txt; crates/zmin-cli/tests/git_admin_tools_compat.rs	Reviewed complete doc-option pair: advance is covered by the existing exact stock-Git replay evidence for linear-range advance with and without contained mode, including matching stdout, stderr, exit status, and topic-ref side effects on the currently modeled helper-free local lanes.
replay	--onto	docs/cli/matrices/replay_v2_47.tsv; target/git-doc-cache/v2.47.1/git-replay.txt; crates/zmin-cli/tests/git_admin_tools_compat.rs	Reviewed complete doc-option pair: onto is covered by the existing exact stock-Git replay evidence for replaying a fixed-date linear range onto a base commit, including matching stdout, stderr, and exit status on the currently modeled helper-free local lanes.
rebase	--interactive	docs/cli/matrices/rebase_v2_47.tsv; target/git-doc-cache/v2.47.1/git-rebase.txt; crates/zmin-cli/tests/git_rebase_interactive_compat.rs; tools/git-rebase-interactive-schema-gap-probe.sh::rebase_interactive_long_invalid_todo	Reviewed complete doc-option pair: interactive is covered by the existing exact stock-Git invalid-input evidence for an edited interactive todo containing an unknown command, including matching stdout, stderr, exit status, and in-progress rebase state on the current helper-free local lane.
rebase	-i	docs/cli/matrices/rebase_v2_47.tsv; target/git-doc-cache/v2.47.1/git-rebase.txt; crates/zmin-cli/tests/git_rebase_interactive_compat.rs	Reviewed complete doc-option pair: short interactive alias is covered by the existing exact stock-Git invalid-input evidence for an edited interactive todo containing an unknown command, including matching stdout, stderr, exit status, and in-progress rebase state plus stock-compatible abort cleanup on the current helper-free local lane.
rebase	--onto	docs/cli/matrices/rebase_v2_47.tsv; target/git-doc-cache/v2.47.1/git-rebase.txt; crates/zmin-cli/tests/git_sequencer_compat.rs	Reviewed complete doc-option pair: onto is covered by the existing exact stock-Git rebase evidence for replaying a topic branch onto a selected new base, including matching tree, log subjects, current branch, clean status, stdout, stderr, and exit status on the currently modeled helper-free local lanes.
reflog	--dry-run	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: dry-run is covered by the existing exact stock-Git reflog expire evidence for previewing expiry on the local helper-free lane, including matching stdout, stderr, exit status, and unchanged reflog entries after `git reflog expire --dry-run main`.
reflog	--all	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: all now has durable stock-Git expire evidence for the modeled expire-all scope lanes, including shared-ref pruning plus linked-worktree coverage when combined with single-worktree.
reflog	--expire	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: expire now has durable stock-Git reflog expire evidence for default current-entry retention, pattern-config pruning, and the special expire=all lane with matching stdout, stderr, exit status, and resulting reflog contents.
reflog	--expire-unreachable	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: expire-unreachable now has durable stock-Git reflog expire evidence for the modeled unreachable-only pruning lane via `--expire=never --expire-unreachable=all`, including matching stdout, stderr, exit status, and resulting reflog contents.
reflog	--rewrite	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: rewrite is covered by the existing exact stock-Git reflog expire evidence for the local helper-free current-entry lane, including matching stdout, stderr, exit status, and resulting HEAD/main reflogs after `git reflog expire --rewrite main`.
reflog	--single-worktree	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: single-worktree now has durable stock-Git expire evidence for preserving linked-worktree HEAD reflogs while pruning shared reflogs on the modeled `--all --expire=all` lane.
reflog	--stale-fix	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: stale-fix now has durable stock-Git reflog expire evidence for pruning a modeled broken trailing reflog entry that references a missing object graph while preserving the remaining valid history.
reflog	--updateref	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: updateref is covered by the existing exact stock-Git reflog expire evidence for the local helper-free current-entry lane, including matching stdout, stderr, exit status, and resulting HEAD/main reflogs after `git reflog expire --updateref main`.
reflog	--verbose	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: verbose is covered by the existing exact stock-Git reflog expire evidence for the local helper-free current-entry lane, including matching stdout, stderr, exit status, and resulting HEAD/main reflogs after `git reflog expire --verbose main`.
reflog	-n	docs/cli/matrices/reflog_v2_47.tsv; target/git-doc-cache/v2.47.1/git-reflog.txt; crates/zmin-cli/tests/git_reflog_compat.rs	Reviewed complete doc-option pair: short dry-run alias now has durable stock-Git reflog expire evidence for `git reflog expire -n main`, including matching stdout, stderr, exit status, and unchanged reflog entries.
